n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
782378300.0,181034780.0,107521980.0,22.485075,33799484.0,44.573696,245352080.0,23.207218,432027170.0,35279960.0,-14.473123,6764872.0,350351140.0,3.1868129,-8.236749,-16.971706,146.66646,55.21973,113141260.0,573.20844,497690500.0,2521.4531,9399672.0,47.62163,-8450602.0,-42.813347,12527647.0,63.468914,-84952420.0,-430.39508,19738240.0,147.93124,13319646.0,493633340.0,479037540.0,16.637627,399353700.0,399353700.0,10.907993,9463209.0,44795296.0,17632496.0,15854824.0,15610956.0,4206353.5,7792852.5,12.695948,-36.26694,-42.382324,18407548.0,-43.835686
790073340.0,382760260.0,114359784.0,131.83656,7823815.5,1086.1812,38619856.0,21.282597,379962660.0,70005440.0,77.79335,14376418.0,410110700.0,100.65503,56.40592,23.772121,83.45299,48.092075,47206040.0,72.62265,811144300.0,1247.8795,52339990.0,80.52082,-219928580.0,-338.34222,128931660.0,198.35088,237724350.0,365.71957,65001812.0,393.3415,26596714.0,688615800.0,662778560.0,-11.887611,586029700.0,586029700.0,-12.492705,27877382.0,42564504.0,3683837.0,30400360.0,31290516.0,4693613.5,2623149.0,-11.931814,-8.033446,-5.092586,25542028.0,5462.9116
209686770.0,157486600.0,27867742.0,272.73706,6836617.5,-81.37121,5543524.0,-95.50593,204348590.0,70654530.0,12.413019,50000.0,5338187.0,-80.72282,-83.94386,-83.698524,24.78892,97.45421,48832820.0,239.47957,80257530.0,393.58853,16171707.0,79.307175,57918980.0,284.03873,5279180.0,25.889465,-86360580.0,-423.51828,20391228.0,199.58142,12165924.0,86057800.0,80432616.0,-8.364246,66101496.0,66101496.0,76.09556,408676.97,5806458.5,7274639.0,5944878.5,12165924.0,4028060.2,841346.5,210.51218,110.19112,111.5292,1916774.2,118.71276
476217700.0,252456590.0,86032830.0,11.379468,19268922.0,-7.155749,43788370.0,-0.14462438,225736210.0,13680372.0,-6.1054583,43204750.0,250481490.0,9.873688,-0.25012138,-9.502651,182.39413,47.401894,16033942.0,182.41446,362666620.0,4125.9746,11276263.0,128.28745,-7604876.0,-86.51892,19501214.0,221.86081,360775.4,4.104459,8789841.0,-1.7620336,26702634.0,356069730.0,321755650.0,7.1962285,300820960.0,300820960.0,8.43197,4794733.5,8416920.0,6287410.5,34310412.0,39937252.0,13207629.0,156331.45,8.328247,13.934059,24.096392,22513704.0,13.423442
3821796000.0,814110300.0,990375550.0,48.835464,223239070.0,65.11631,958573760.0,237.0145,2149075700.0,229642600.0,20.023527,222079360.0,1672720400.0,0.10624177,55.50573,173.1722,122.04675,56.232086,-558934100.0,-734.73114,2659474000.0,3495.937,110414890.0,145.14279,-92922820.0,-122.149086,265119760.0,348.50574,728318800.0,957.39105,76073280.0,39.100925,90508450.0,2262383600.0,2297184500.0,41.598595,1875612800.0,1875612800.0,49.706955,268095600.0,110882090.0,39139084.0,114561020.0,123131070.0,28285438.0,3455024.5,36.234737,-27.65484,-9.740243,21245012.0,-61.58677
2021991200.0,164061950.0,898464600.0,-10.506997,205823250.0,-38.402813,442315940.0,22.27632,1289237400.0,335402270.0,-19.026114,42192612.0,732753800.0,18.210653,-15.432122,-27.20685,129.41356,63.76078,234328430.0,138.41847,5699057700.0,3366.4497,70283930.0,41.51692,-15784421.0,-9.323902,23899616.0,14.117571,-387836100.0,-229.09587,-169289860.0,-135.98962,129038570.0,4512535600.0,4383291000.0,20.701385,4059237400.0,4059237400.0,22.083914,173239780.0,106856104.0,35710280.0,130995220.0,153013260.0,21204944.0,8247144.0,22.195889,38.96499,28.00388,111465000.0,126.1771
1023132400.0,404445500.0,153208940.0,-28.290302,80517260.0,-3.8838708,184950900.0,32.607914,253518610.0,22337548.0,-33.35423,77820030.0,769613760.0,0.6188835,6.538271,29.7019,206.08487,24.778671,67485590.0,135.20186,493427000.0,988.54065,37450090.0,75.02818,-106759530.0,-213.88397,116114630.0,232.62616,-10640754.0,-21.31788,-49914692.0,-23.39637,20338208.0,417589950.0,397362000.0,10.128634,314146340.0,314146340.0,13.602367,16593524.0,44353810.0,3591971.8,25223088.0,30447226.0,6436079.0,18676334.0,16.132053,271.0545,69.54063,14776901.0,882.3539
8146252000.0,2608640300.0,575863100.0,2.0206215,102521784.0,104.5061,2428967200.0,118.45446,6324872000.0,748421200.0,-13.821936,135329710.0,1821379300.0,3.6010396,11.860332,14.488723,59.6382,77.6415,-1836454500.0,-2120.481,6107204600.0,7051.7466,355526050.0,410.5118,-104445240.0,-120.59876,108697464.0,125.508644,2026542800.0,2339.9685,86605560.0,93.80374,63215770.0,4856100000.0,4809438000.0,-36.397766,4278689000.0,4278689000.0,-32.459667,37706104.0,175258600.0,291235500.0,49905160.0,90899660.0,27673472.0,6698049.0,-20.769815,103.795204,106.445564,32287178.0,102.98592
703370700.0,107101850.0,169298580.0,-39.233265,22122644.0,-69.91537,41624610.0,24.66922,178364260.0,14036001.0,-70.22689,20655510.0,525006430.0,5.14862,10.378211,29.30803,197.43741,25.3585,9855744.0,9.016698,410452380.0,375.5095,5513653.0,5.044261,-167852210.0,-153.5625,216340940.0,197.92326,48690996.0,44.5458,-109305464.0,-149.19762,27221968.0,343284930.0,307094200.0,37.986908,259213550.0,259213550.0,34.424328,16172622.0,29639396.0,1810262.8,37806450.0,31716042.0,6275421.0,258359.58,36.01382,30.367598,-12.610743,31634260.0,11.201586
2174948900.0,744413950.0,325448960.0,293.98135,24737864.0,1086.1812,84407656.0,321.82672,1439246100.0,109250024.0,159.88641,95444310.0,735702850.0,51.306015,24.89703,28.90421,68.49528,66.17379,165804200.0,83.35311,2294141700.0,1153.3114,106119496.0,53.348415,-425881380.0,-214.09917,303483940.0,152.5675,459071970.0,230.78476,198917810.0,1005.3345,210302180.0,2766822400.0,2479330000.0,22.86157,2258824700.0,2258824700.0,82.261,40913996.0,119897760.0,23782718.0,319451420.0,315816830.0,90595330.0,17713954.0,45.40996,-14.190239,-17.463886,287544930.0,5462.9116
